"","query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa01835","Taxa01835","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Hygrophoraceae","","","","","","",""
"Taxa01836","Taxa01836","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa01837","Taxa01837","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricostilbomycetes","","Agaricostilbales","","Kondoaceae","","","Bensingtonia","","","",""
"Taxa01838","Taxa01838","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01839","Taxa01839","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","","","","","","","Peltaster","","Peltaster fructicola","",""
"Taxa01840","Taxa01840","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Diatrypaceae","","","Eutypella","","","",""
"Taxa01841","Taxa01841","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","","","","",""
"Taxa01842","Taxa01842","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Teichosporaceae","","","Teichospora","","Teichospora thailandica","",""
"Taxa01843","Taxa01843","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","","",""
"Taxa01844","Taxa01844","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Tetraplosphaeriaceae","","","Tetraplosphaeria","","Tetraplosphaeria sp.","",""
"Taxa01845","Taxa01845","","","","","","","","","","","","","","","",""
"Taxa01846","Taxa01846","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Tetraplosphaeriaceae","","","Polyplosphaeria","","Polyplosphaeria fusca","",""
"Taxa01847","Taxa01847","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa01848","Taxa01848","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01849","Taxa01849","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Sarocladiaceae","","","Parasarocladium","","Parasarocladium gamsii","",""
"Taxa01850","Taxa01850","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Hyaloriaceae","","","Myxarium","","","",""
"Taxa01851","Taxa01851","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Glomerellales","","Plectosphaerellaceae","","","","","","",""
"Taxa01852","Taxa01852","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01853","Taxa01853","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco02","",""
"Taxa01854","Taxa01854","Eukaryota","Fungi","","","","","","","","","","","","","",""
"Taxa01855","Taxa01855","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01856","Taxa01856","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01857","Taxa01857","Eukaryota","Fungi","Dikarya","Basidiomycota","Atractiellomycetes","","Atractiellales","","Helicogloeaceae","","","Helicogloea","","","",""
"Taxa01858","Taxa01858","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Periconiaceae","","","Periconia","","","",""
"Taxa01859","Taxa01859","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa01860","Taxa01860","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","","","","",""
"Taxa01861","Taxa01861","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Hyaloriaceae","","","Myxarium","","","",""
"Taxa01862","Taxa01862","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01863","Taxa01863","","","","","","","","","","","","","","","",""
"Taxa01864","Taxa01864","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01865","Taxa01865","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Auriculariaceae","","","Auricularia","","","",""
"Taxa01866","Taxa01866","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa01867","Taxa01867","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01868","Taxa01868","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco02","",""
"Taxa01869","Taxa01869","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","uncultured Oliveonia","",""
"Taxa01870","Taxa01870","Eukaryota","Fungi","Dikarya","Basidiomycota","Exobasidiomycetes","","Golubeviales","","Golubeviaceae","","","Golubevia","","Golubevia pallescens","",""
"Taxa01871","Taxa01871","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","","","","",""
"Taxa01872","Taxa01872","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa01873","Taxa01873","","","","","","","","","","","","","","","",""
"Taxa01874","Taxa01874","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","","",""
"Taxa01875","Taxa01875","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Nectriaceae","","","Fusarium","","","",""
"Taxa01876","Taxa01876","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","","","","","","","",""
"Taxa01877","Taxa01877","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01878","Taxa01878","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01879","Taxa01879","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Conioscyphales","","Conioscyphaceae","","","Conioscypha","","","",""
"Taxa01880","Taxa01880","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Gelatoporiaceae","","","Gelatoporia","","Gelatoporia subvermispora","",""
"Taxa01881","Taxa01881","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Hyphodermataceae","","","Hyphoderma","","","",""
"Taxa01882","Taxa01882","","","","","","","","","","","","","","","",""
"Taxa01883","Taxa01883","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Steccherinaceae","","","Steccherinum","","","",""
"Taxa01884","Taxa01884","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","Capnobotryella","","Capnobotryella renispora","",""
"Taxa01885","Taxa01885","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco01","",""
"Taxa01886","Taxa01886","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","","","","","","","","","","",""
"Taxa01887","Taxa01887","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","Exidia","","Exidia uvapassa","",""
"Taxa01888","Taxa01888","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Pleosporaceae","","","Alternaria","","","",""
"Taxa01889","Taxa01889","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01890","Taxa01890","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Auriculariaceae","","","Auricularia","","","",""
"Taxa01891","Taxa01891","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01892","Taxa01892","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","","",""
"Taxa01893","Taxa01893","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Irpicaceae","","","","","","",""
"Taxa01894","Taxa01894","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco02","",""
"Taxa01895","Taxa01895","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01896","Taxa01896","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01897","Taxa01897","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Lachnocladiaceae","","","Vararia","","","",""
"Taxa01898","Taxa01898","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","","","","",""
"Taxa01899","Taxa01899","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Corticiales","","","","","","","","",""
"Taxa01900","Taxa01900","Eukaryota","Fungi","Dikarya","Basidiomycota","Dacrymycetes","","Dacrymycetales","","Dacrymycetaceae","","","Dacrymyces","","Dacrymyces novae-zelandiae","",""
"Taxa01901","Taxa01901","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","","","","",""
"Taxa01902","Taxa01902","","","","","","","","","","","","","","","",""
"Taxa01903","Taxa01903","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01904","Taxa01904","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","","","","","","","","","",""
"Taxa01905","Taxa01905","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa01906","Taxa01906","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa01907","Taxa01907","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Periconiaceae","","","Periconia","","Periconia macrospinosa","",""
"Taxa01908","Taxa01908","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Stereum","","","",""
"Taxa01909","Taxa01909","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Hyphodermataceae","","","Hyphoderma","","Hyphoderma transiens","",""
"Taxa01910","Taxa01910","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Sebacinales","","","","","","","","",""
"Taxa01911","Taxa01911","","","","","","","","","","","","","","","",""
"Taxa01912","Taxa01912","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","Neocatenulostroma","","","",""
"Taxa01913","Taxa01913","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Sordariomycetidae","Magnaporthales","","Pyriculariaceae","","","Pyricularia","","","",""
"Taxa01914","Taxa01914","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","","","","","","","",""
"Taxa01915","Taxa01915","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Meripilaceae","","","Rigidoporus","","Rigidoporus cuneatus","",""
"Taxa01916","Taxa01916","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","","","","",""
"Taxa01917","Taxa01917","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricostilbomycetes","","","","","","","","","","",""
"Taxa01918","Taxa01918","","","","","","","","","","","","","","","",""
"Taxa01919","Taxa01919","","","","","","","","","","","","","","","",""
"Taxa01920","Taxa01920","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","","","","","","Russulales sp.","",""
"Taxa01921","Taxa01921","","","","","","","","","","","","","","","",""
"Taxa01922","Taxa01922","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","","","","","","","",""
"Taxa01923","Taxa01923","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Myriangiales","","Myriangiaceae","","","Myriangium","","","",""
"Taxa01924","Taxa01924","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Peniophoraceae","","","Peniophora","","","",""
"Taxa01925","Taxa01925","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Corticiales","","Corticiaceae","","","Laetisaria","","Laetisaria fuciformis","",""
"Taxa01926","Taxa01926","","","","","","","","","","","","","","","",""
"Taxa01927","Taxa01927","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Thyridariaceae","","","Roussoella","","","",""
"Taxa01928","Taxa01928","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Hyphodermataceae","","","Hyphoderma","","","",""
"Taxa01929","Taxa01929","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","","","","",""
"Taxa01930","Taxa01930","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco02","",""
"Taxa01931","Taxa01931","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa01932","Taxa01932","","","","","","","","","","","","","","","",""
"Taxa01933","Taxa01933","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Steccherinaceae","","","Junghuhnia","","Junghuhnia nitida","",""
"Taxa01934","Taxa01934","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","Basidiodendron","","","",""
"Taxa01935","Taxa01935","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Gelatoporiaceae","","","Cinereomyces","","Cinereomyces lindbladii","",""
"Taxa01936","Taxa01936","Eukaryota","Fungi","","","","","","","","","","","","","",""
"Taxa01937","Taxa01937","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01938","Taxa01938","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","","","","","","","","","",""
"Taxa01939","Taxa01939","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Corticiales","","Punctulariaceae","","","","","","",""
"Taxa01940","Taxa01940","","","","","","","","","","","","","","","",""
"Taxa01941","Taxa01941","","","","","","","","","","","","","","","",""
"Taxa01942","Taxa01942","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","","",""
"Taxa01943","Taxa01943","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01944","Taxa01944","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Didymosphaeriaceae","","","Paracamarosporium","","Paracamarosporium hawaiiense","",""
"Taxa01945","Taxa01945","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01946","Taxa01946","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01947","Taxa01947","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Polyporaceae","","","","","","",""
"Taxa01948","Taxa01948","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Strophariaceae","","","","","","",""
"Taxa01949","Taxa01949","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Meruliaceae","","","Phlebia","","Phlebia livida","Phlebia livida subsp. tuberculata",""
"Taxa01950","Taxa01950","Eukaryota","","","","Oomycetes","","Pythiales","","","","","","","","",""
"Taxa01951","Taxa01951","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Polyporaceae","","","Favolus","","Favolus acervatus","",""
"Taxa01952","Taxa01952","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01953","Taxa01953","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01954","Taxa01954","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Hyphodermataceae","","","Hyphoderma","","","",""
"Taxa01955","Taxa01955","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Pleosporaceae","","","Curvularia","","Curvularia intermedia","",""
"Taxa01956","Taxa01956","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Hericiaceae","","","Pseudowrightoporia","","Pseudowrightoporia oblongispora","",""
"Taxa01957","Taxa01957","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Aporpiaceae","","","","","","",""
"Taxa01958","Taxa01958","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Dothideales","","Dothideaceae","","","","","","",""
"Taxa01959","Taxa01959","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Cucurbitariaceae","","","Neocucurbitaria","","","",""
"Taxa01960","Taxa01960","","","","","","","","","","","","","","","",""
"Taxa01961","Taxa01961","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01962","Taxa01962","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","","","","",""
"Taxa01963","Taxa01963","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Dacryobolaceae","","","Postia","","","",""
"Taxa01964","Taxa01964","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01965","Taxa01965","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Derxomyces","","","",""
"Taxa01966","Taxa01966","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","","","","","","","","","","",""
"Taxa01967","Taxa01967","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa01968","Taxa01968","Eukaryota","Fungi","Dikarya","Basidiomycota","Dacrymycetes","","Dacrymycetales","","Dacrymycetaceae","","","Dacrymyces","","","",""
"Taxa01969","Taxa01969","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Stereum","","","",""
"Taxa01970","Taxa01970","","","","","","","","","","","","","","","",""
"Taxa01971","Taxa01971","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Hyaloriaceae","","","","","","",""
"Taxa01972","Taxa01972","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","","","","","","","",""
"Taxa01973","Taxa01973","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Nectriaceae","","","Fusarium","Fusarium sambucinum species complex","","",""
"Taxa01974","Taxa01974","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa01975","Taxa01975","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa01976","Taxa01976","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Periconiaceae","","","Periconia","","","",""
"Taxa01977","Taxa01977","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","","","","","","","",""
"Taxa01978","Taxa01978","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Trimorphomycetaceae","","","Carlosrosaea","","Carlosrosaea vrieseae","",""
"Taxa01979","Taxa01979","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Epicoleosporium","","Epicoleosporium ramularioides","",""
"Taxa01980","Taxa01980","","","","","","","","","","","","","","","",""
"Taxa01981","Taxa01981","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Ramularia","","","",""
"Taxa01982","Taxa01982","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01983","Taxa01983","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","","","","",""
"Taxa01984","Taxa01984","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01985","Taxa01985","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa01986","Taxa01986","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Hyphodermataceae","","","Hyphoderma","","","",""
"Taxa01987","Taxa01987","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Dissoconiaceae","","","Ramichloridium","","","",""
"Taxa01988","Taxa01988","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Hypocreaceae","","","Trichoderma","","","",""
"Taxa01989","Taxa01989","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","Neocatenulostroma","","","",""
"Taxa01990","Taxa01990","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Lachnocladiaceae","","","","","","",""
"Taxa01991","Taxa01991","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Meruliaceae","","","Phlebia","","Phlebia livida","Phlebia livida subsp. tuberculata",""
"Taxa01992","Taxa01992","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Lachnocladiaceae","","","Vararia","","","",""
"Taxa01993","Taxa01993","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Massarinaceae","","","Stagonospora","","Stagonospora trichophoricola","",""
"Taxa01994","Taxa01994","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01995","Taxa01995","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Periconiaceae","","","Periconia","","","",""
"Taxa01996","Taxa01996","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Dioszegia","","","",""
"Taxa01997","Taxa01997","Eukaryota","Fungi","","","","","","","","","","","","","",""
"Taxa01998","Taxa01998","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa01999","Taxa01999","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","","","","Resinicium","","","",""
"Taxa02000","Taxa02000","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","Erythrobasidiales","","Erythrobasidiaceae","","","Bannoa","","","",""
"Taxa02001","Taxa02001","","","","","","","","","","","","","","","",""
"Taxa02002","Taxa02002","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa02003","Taxa02003","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Hyaloriaceae","","","Stypella","","Stypella vermiformis","",""
"Taxa02004","Taxa02004","","","","","","","","","","","","","","","",""
"Taxa02005","Taxa02005","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa02006","Taxa02006","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","","","","","","","","","","",""
"Taxa02007","Taxa02007","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco01","",""
"Taxa02008","Taxa02008","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa02009","Taxa02009","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa02010","Taxa02010","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa02011","Taxa02011","","","","","","","","","","","","","","","",""
"Taxa02012","Taxa02012","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","","","","",""
"Taxa02013","Taxa02013","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Teichosporaceae","","","Teichospora","","","",""
"Taxa02014","Taxa02014","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","",""
"Taxa02015","Taxa02015","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","","","","","","","",""
"Taxa02016","Taxa02016","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa02017","Taxa02017","Eukaryota","Fungi","Dikarya","Basidiomycota","Dacrymycetes","","Dacrymycetales","","Dacrymycetaceae","","","","","","",""
"Taxa02018","Taxa02018","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Diatrypaceae","","","Eutypella","","","",""
"Taxa02019","Taxa02019","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","","","","",""
"Taxa02020","Taxa02020","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
