"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S074",1208,492,177,57,64
"S075",2755,1025,346,134,130
"S076",835,405,118,38,39
"S077",36245,16735,7855,3147,2283
"S078",41676,19760,9114,3549,3024
"S079",4,3,137,0,203
"S080",8,2,0,0,0
"S081",7017,3056,1163,408,249
"S082",2295,1032,441,124,103
"S083",2257,985,311,94,76
"S084",993,457,154,58,34
"S085",3490,1530,531,125,116
"S086",3378,1330,425,155,98
"S087",1445,590,206,55,54
"S088",1009,461,125,39,48
"S089",850,390,136,49,26
"S090",1137,540,189,46,49
"S091",1266,551,189,51,54
"S092",685,293,97,26,16
"S093",852,345,105,27,25
"S094",848,378,124,45,26
"S095",622,270,89,30,21
"S096",461,184,52,14,15
"S097",783,329,90,37,28
"S098",704,282,86,24,16
"S099",542,216,66,20,17
"S100",957,392,110,27,20
"S101",663,291,72,25,27
"S102",477,195,50,15,12
"S103",656,270,88,37,10
"S104",534,234,81,24,21
"S105",1082,424,139,41,46
"S106",842,337,124,36,34
"S107",1279,545,181,42,49
"S108",688,299,89,24,21
"S109",454,208,68,28,15
"S110",1021,444,153,44,39
"S111",1076,425,142,42,31
"S112",1076,402,113,55,41
"S113",5854,2269,760,265,144
"S114",1051,457,152,46,25
"S115",1210,420,175,43,38
"S116",817,372,109,38,37
"S117",30603,14142,5928,2181,1980
"S118",36122,16197,7719,2653,2045
"S119",2,0,0,0,0
"S120",8805,4944,1944,579,626
"S121",5640,2539,879,288,199
"S122",2319,1089,323,130,98
"S123",1286,578,159,63,50
"S124",2194,950,314,114,55
"S125",3445,1423,434,154,121
"S126",3164,1452,447,143,122
"S127",1710,681,232,80,56
"S128",2785,1094,324,120,78
"S129",1799,774,250,56,66
"S130",2933,1251,396,150,94
"S131",3521,1444,487,152,112
"S132",3334,1383,435,158,106
"S133",2032,884,291,92,68
"S134",1764,778,220,80,48
"S135",1001,438,141,36,39
"S136",899,395,96,39,23
"S137",1643,723,205,69,46
"S138",1194,493,133,49,32
"S139",1490,621,168,65,43
"S140",3134,1351,440,158,101
"S141",1817,784,238,78,58
"S142",1220,494,141,37,47
"S143",1343,652,215,56,44
"S144",506,219,55,21,15
"S145",2146,941,278,75,74
"S146",1855,727,263,98,68
"S147",1602,610,169,49,35
"S148",1752,731,232,67,60
"S149",874,349,102,41,21
"S150",1719,702,181,87,57
"S151",2038,873,223,88,76
"S152",1577,632,200,80,54
"S153",1795,762,240,83,68
"S154",921,374,117,29,27
"S155",4072,1585,574,181,121
"S156",1094,469,151,37,44
"S157",24304,11526,5008,1924,1263
"S158",25319,13023,5457,2049,1383
"S159",0,5,0,0,0
"S160",0,0,0,0,0
"S161",9524,4291,1589,497,462
"S162",1368,610,230,79,62
"S163",1382,577,161,75,48
"S164",1264,528,133,43,36
"S165",1304,577,199,85,51
"S166",1625,677,202,91,54
"S167",2014,844,261,89,76
"S168",791,317,114,34,30
"S169",1880,717,267,99,81
"S170",2670,1195,388,140,149
"S171",1286,574,200,84,47
"S172",3265,1223,452,168,110
"S173",762,342,112,41,28
"S174",794,311,98,45,22
"S175",416,167,49,22,24
"S176",586,241,72,29,26
"S177",1098,444,151,40,37
"S178",1110,485,154,52,43
"S179",2204,867,345,104,81
"S180",2362,1012,355,117,98
"S181",1588,652,232,92,36
"S182",771,315,104,32,26
"S183",1405,587,181,67,48
