"date","date_time","plot","treatment","spad1","spad2","spad3","height1","height2","height3","gr1","gr2","gr3","spad_r1","spad_r2","spad_r3"
2019-06-12,2019-06-12 09:23:00,"8","PN",36.9,41,40.7,30,28,31.4,1.38747419132829,0,0.297315898141773,-6.44184445973847,-0.693737095664146,-1.38747419132829
2019-06-12,2019-06-12 09:25:00,"9","RM",35.4,41.1,38.6,30.1,30.2,32.4,1.98074277854195,0.594222833562584,1.58459422283356,-8.4181568088033,1.28748280605227,-4.65474552957359
2019-06-13,2019-06-13 09:11:00,"1","CT",36.2,40.3,40.4,31.6,33,32.7,1.60557491289199,2.00696864111498,0.802787456445997,1.80627177700349,2.40836236933798,1.50522648083624
2019-06-13,2019-06-13 09:11:00,"2","PN",39.5,36.9,38,32.2,31.7,32,1.7071129707113,1.30543933054393,0.401673640167363,2.91213389121339,-6.92887029288703,-6.92887029288703
2019-06-13,2019-06-13 09:12:00,"3","RM",39.1,43.3,41.7,31.7,33.1,31.5,1.10460251046025,1.60669456066946,1.20502092050209,3.01255230125523,5.52301255230126,4.11715481171548
2019-06-13,2019-06-13 09:12:00,"4","CT",38.8,37.8,41.7,33.3,31.6,33,1.50732728541521,1.30635031402652,1.50732728541521,-4.82344731332869,3.21563154221912,5.12491277041172
2019-06-13,2019-06-13 09:13:00,"5","PN",43.2,41.2,39.1,33.5,31.4,30.5,1.10537334263782,0.803907885554777,0.803907885554781,4.92393579902303,1.00488485694348,1.80879274249826
2019-06-13,2019-06-13 09:14:00,"6","RM",40.5,40.9,40.9,33.6,29.2,32.9,0.502442428471738,0.200976971388694,1.80879274249825,1.00488485694348,1.40683879972086,3.41660851360781
2019-06-13,2019-06-13 09:14:00,"7","CT",39.1,42.3,40.7,34.8,32,31.7,0.804469273743014,0.100558659217879,0.703910614525139,-5.63128491620112,0.20111731843575,-0.402234636871507
2019-06-13,2019-06-13 09:15:00,"8","PN",36.1,38.4,37.3,32.1,30.5,31.8,2.11173184357542,2.51396648044693,0.402234636871511,-0.804469273743014,-2.61452513966481,-3.41899441340783
2019-06-13,2019-06-13 09:16:00,"9","RM",37.7,34.6,36.7,30.9,30.6,33.1,0.805031446540878,0.402515723270442,0.704402515723273,2.31446540880504,-6.54088050314465,-1.91194968553459
2019-06-14,2019-06-14 09:00:00,"1","CT",37.6,42.8,40.5,32.1,33.8,33.1,0.503848845346396,0.806158152554231,0.403079076277115,1.41077676696991,2.51924422673198,0.100769769069281
2019-06-14,2019-06-14 09:00:00,"2","PN",42.4,36.5,39.7,33.1,32.7,34.1,0.906927921623511,1.0076976906928,2.11616515045487,2.9223233030091,-0.403079076277115,1.71308607417775
2019-06-14,2019-06-14 09:01:00,"3","RM",41,41.1,41.9,32.6,34.1,32.1,0.906927921623515,1.00769769069279,0.604618614415677,1.9146256123163,-2.21693491952414,0.201539538138554
2019-06-14,2019-06-14 09:01:00,"4","CT",40.7,40.8,40.5,34.5,32.2,33.3,1.20923722883135,0.604618614415677,0.302309307207835,1.91462561231631,3.02309307207838,-1.20923722883135
2019-06-14,2019-06-14 09:02:00,"5","PN",43.9,41.3,39.2,34.1,31.4,30.8,0.604618614415677,0,0.302309307207838,0.70538838348495,0.100769769069273,0.100769769069281
2019-06-14,2019-06-14 09:02:00,"6","RM",42.8,41.8,42.2,33.7,31.7,33.8,0.100840336134455,2.52100840336134,0.907563025210083,2.31932773109243,0.907563025210083,1.3109243697479
2019-06-14,2019-06-14 09:03:00,"7","CT",40.7,42.4,41.8,35.1,34.4,31.9,0.302309307207842,2.4184744576627,0.201539538138558,1.61231630510847,0.100769769069281,1.10846745976207
2019-06-14,2019-06-14 09:03:00,"8","PN",38.4,39.9,40.9,33.2,31.8,34.7,1.10924369747899,1.3109243697479,2.92436974789916,2.31932773109243,1.51260504201681,3.63025210084034
2019-06-14,2019-06-14 09:04:00,"9","RM",35.3,34.7,39,31.3,32.7,33.6,0.403361344537817,2.11764705882353,0.504201680672269,-2.4201680672269,0.100840336134455,2.31932773109243
2019-06-15,2019-06-15 09:00:00,"1","CT",40.8,43.9,39.6,32.2,34.2,33.1,0.100000000000001,0.400000000000006,0,3.2,1.1,-0.899999999999999
2019-06-15,2019-06-15 09:00:00,"2","PN",43.7,37,41.4,33.5,33.5,35.1,0.399999999999999,0.799999999999997,1,1.3,0.5,1.7
2019-06-15,2019-06-15 09:01:00,"3","RM",41.3,44.7,42.3,32.8,34.5,32.3,0.199999999999996,0.399999999999999,0.199999999999996,0.299999999999997,3.6,0.399999999999999
2019-06-15,2019-06-15 09:01:00,"4","CT",42,40.1,43.2,35.2,32.6,33.6,0.700000000000003,0.399999999999999,0.300000000000004,1.3,-0.699999999999996,2.7
2019-06-15,2019-06-15 09:02:00,"5","PN",44.5,42.6,40,34.1,31.5,30.9,0,0.100000000000001,0.0999999999999979,0.600000000000001,1.3,0.799999999999997
2019-06-15,2019-06-15 09:03:00,"6","RM",41.6,43.2,44.4,35,32.7,34.1,1.29909784871617,0.99930603747398,0.299791811242197,-1.19916724496877,1.39902845246357,2.19847328244274
2019-06-15,2019-06-15 09:03:00,"7","CT",41.6,45.6,41.4,35,35.7,31.5,-0.100000000000001,1.3,-0.399999999999999,0.899999999999999,3.2,-0.399999999999999
2019-06-15,2019-06-15 09:04:00,"8","PN",41.5,42.5,43.6,34,32.5,35.7,0.799444829979178,0.699514226231783,0.999306037473977,3.09784871616933,2.59819569743234,2.69812630117974
2019-06-15,2019-06-15 09:05:00,"9","RM",40.1,37.2,40.1,31.4,33.7,33.7,0.0999306037473955,0.999306037473977,0.0999306037473991,4.79666897987509,2.49826509368494,1.09923664122138
2019-06-16,2019-06-16 09:04:00,"1","CT",37.6,44.2,40.9,32.5,34.2,33.8,0.299168975069249,0,0.698060941828251,-3.19113573407202,0.299168975069256,1.29639889196676
2019-06-16,2019-06-16 09:04:00,"2","PN",43.3,38.8,41.7,33.5,33.6,36.1,0,0.0997229916897521,0.997229916897507,-0.398891966759008,1.79501385041551,0.299168975069256
2019-06-16,2019-06-16 09:05:00,"3","RM",42.8,44.7,44.6,32.8,34.5,32.3,0,0,0,1.49584487534626,0,2.29362880886427
2019-06-16,2019-06-16 09:05:00,"4","CT",43.1,42.6,37.3,35.2,32.6,33.6,0,0,0,1.09695290858726,2.49307479224377,-5.8836565096953
2019-06-16,2019-06-16 09:06:00,"5","PN",40.6,41.7,39.8,34.2,33.2,32.9,0.0997229916897521,1.69529085872576,1.99445983379501,-3.88919667590028,-0.897506925207755,-0.199445983379504
2019-06-16,2019-06-16 09:07:00,"6","RM",41.4,43.8,43.4,36.6,33.3,34.2,1.59556786703601,0.598337950138498,0.0997229916897521,-0.199445983379504,0.598337950138498,-0.997229916897507
