"","query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"Taxa00035","Taxa00035","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00036","Taxa00036","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00037","Taxa00037","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00038","Taxa00038","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00039","Taxa00039","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00040","Taxa00040","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00041","Taxa00041","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","","",""
"Taxa00042","Taxa00042","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00043","Taxa00043","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00044","Taxa00044","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00045","Taxa00045","Eukaryota","","","Cryptophyta","","","","","","","","","","","","","","","","",""
"Taxa00046","Taxa00046","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00047","Taxa00047","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00048","Taxa00048","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00049","Taxa00049","Eukaryota","","","","","Chrysophyceae","","","","Chromulinales","","","","","Paraphysomonadaceae","","","Paraphysomonas","","Paraphysomonas sp.",""
"Taxa00050","Taxa00050","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00051","Taxa00051","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00052","Taxa00052","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00053","Taxa00053","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","Bodo","","Bodo saltans",""
"Taxa00054","Taxa00054","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00055","Taxa00055","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00056","Taxa00056","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00057","Taxa00057","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00058","Taxa00058","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00059","Taxa00059","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00060","Taxa00060","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00061","Taxa00061","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Orthocladiinae","","Psectrocladius","","",""
"Taxa00062","Taxa00062","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00063","Taxa00063","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00064","Taxa00064","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00065","Taxa00065","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00066","Taxa00066","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00067","Taxa00067","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00068","Taxa00068","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00069","Taxa00069","Eukaryota","Metazoa","","Chordata","Sarcopterygii","Amphibia","","","Batrachia","Anura","Neobatrachia","","","Hyloidea","Hylidae","Hylinae","Hylini","Dryophytes","","Dryophytes japonicus",""
"Taxa00070","Taxa00070","Eukaryota","","","","","Oomycetes","","","","Saprolegniales","","","","","Saprolegniaceae","","","","","",""
"Taxa00071","Taxa00071","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00072","Taxa00072","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00073","Taxa00073","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00074","Taxa00074","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00075","Taxa00075","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00076","Taxa00076","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa00077","Taxa00077","Eukaryota","","","Cryptophyta","","","","","","","","","","","","","","","","",""
"Taxa00078","Taxa00078","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00079","Taxa00079","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00080","Taxa00080","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00081","Taxa00081","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00082","Taxa00082","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Lutzia","","Lutzia vorax",""
"Taxa00083","Taxa00083","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00084","Taxa00084","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00085","Taxa00085","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa00086","Taxa00086","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00087","Taxa00087","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00088","Taxa00088","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00089","Taxa00089","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00090","Taxa00090","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00091","Taxa00091","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00092","Taxa00092","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00093","Taxa00093","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Thysanoptera","Terebrantia","","","Thripoidea","Thripidae","Thripinae","","Anaphothrips","","Anaphothrips obscurus",""
"Taxa00094","Taxa00094","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00095","Taxa00095","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","Culex infantulus",""
"Taxa00096","Taxa00096","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00097","Taxa00097","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00098","Taxa00098","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","","","","","","","","","","",""
"Taxa00099","Taxa00099","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00100","Taxa00100","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00101","Taxa00101","Eukaryota","Metazoa","","Mollusca","","Gastropoda","Heterobranchia","","Eupulmonata","Stylommatophora","","","","Limacoidea","Limacidae","","","Ambigolimax","","Ambigolimax valentianus",""
"Taxa00102","Taxa00102","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Culex","Culex tritaeniorhynchus",""
"Taxa00103","Taxa00103","Eukaryota","Metazoa","","Gastrotricha","","","","","","Chaetonotida","Paucitubulatina","","","","Chaetonotidae","","","","","",""
"Taxa00104","Taxa00104","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00105","Taxa00105","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00106","Taxa00106","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00107","Taxa00107","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00108","Taxa00108","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","","","","","",""
"Taxa00109","Taxa00109","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00110","Taxa00110","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00111","Taxa00111","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","","",""
"Taxa00112","Taxa00112","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00113","Taxa00113","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00114","Taxa00114","","","","","","","","","","","","","","","","","","","","",""
"Taxa00115","Taxa00115","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00116","Taxa00116","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00117","Taxa00117","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00118","Taxa00118","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00119","Taxa00119","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00120","Taxa00120","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00121","Taxa00121","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00122","Taxa00122","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00123","Taxa00123","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscoidea","Dytiscidae","Colymbetinae","Colymbetini","Rhantus","","Rhantus suturalis",""
"Taxa00124","Taxa00124","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00125","Taxa00125","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00126","Taxa00126","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00127","Taxa00127","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00128","Taxa00128","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00129","Taxa00129","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00130","Taxa00130","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00131","Taxa00131","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00132","Taxa00132","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00133","Taxa00133","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscoidea","Dytiscidae","Colymbetinae","Colymbetini","Rhantus","","Rhantus suturalis",""
"Taxa00134","Taxa00134","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","",""
"Taxa00135","Taxa00135","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00136","Taxa00136","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00137","Taxa00137","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00138","Taxa00138","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00139","Taxa00139","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","Harpalinae","","","","",""
"Taxa00140","Taxa00140","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00141","Taxa00141","Eukaryota","","","","","Chrysophyceae","","","","Chromulinales","","","","","Chromulinaceae","","","Pedospumella","","",""
"Taxa00142","Taxa00142","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00143","Taxa00143","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00144","Taxa00144","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00145","Taxa00145","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00146","Taxa00146","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00147","Taxa00147","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00148","Taxa00148","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00149","Taxa00149","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00150","Taxa00150","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00151","Taxa00151","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00152","Taxa00152","Eukaryota","","","","","Phaeophyceae","","","","","","","","","","","","","","",""
"Taxa00153","Taxa00153","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00154","Taxa00154","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00155","Taxa00155","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00156","Taxa00156","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00157","Taxa00157","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00158","Taxa00158","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00159","Taxa00159","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00160","Taxa00160","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00161","Taxa00161","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00162","Taxa00162","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00163","Taxa00163","Eukaryota","","","","","Synurophyceae","","","","Ochromonadales","","","","","Ochromonadaceae","","","Poterioochromonas","","Poterioochromonas malhamensis",""
"Taxa00164","Taxa00164","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00165","Taxa00165","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00166","Taxa00166","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00167","Taxa00167","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00168","Taxa00168","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00169","Taxa00169","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00170","Taxa00170","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","","","","","","","",""
"Taxa00171","Taxa00171","Eukaryota","Metazoa","","Arthropoda","","Arachnida","","","","Araneae","Araneomorphae","","","Araneoidea","Tetragnathidae","","","Tetragnatha","","Tetragnatha maxillosa",""
"Taxa00172","Taxa00172","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00173","Taxa00173","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00174","Taxa00174","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","","","","","",""
"Taxa00175","Taxa00175","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00176","Taxa00176","Eukaryota","","","","","Chrysophyceae","","","","Chromulinales","","","","","Paraphysomonadaceae","","","Paraphysomonas","","Paraphysomonas sp.",""
"Taxa00177","Taxa00177","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00178","Taxa00178","Eukaryota","","","","","Phaeophyceae","","","","","","","","","","","","","","",""
"Taxa00179","Taxa00179","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00180","Taxa00180","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Thysanoptera","Terebrantia","","","Thripoidea","Thripidae","Thripinae","","","","",""
"Taxa00181","Taxa00181","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00182","Taxa00182","Eukaryota","","","","","","","","","","","","","","Histionidae","","","","","",""
"Taxa00183","Taxa00183","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00184","Taxa00184","Eukaryota","","","","","Oomycetes","","","","Pythiales","","","","","Pythiaceae","","","Pythium","","",""
"Taxa00185","Taxa00185","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00186","Taxa00186","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
