"query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","tribe","genus","species"
"Taxa00039","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Verrucomicrobium","uncultured Verrucomicrobium sp."
"Taxa00040","Bacteria","","","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","",""
"Taxa00041","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","Azospirillum",""
"Taxa00042","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00043","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","","uncultured beta proteobacterium"
"Taxa00044","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","","uncultured Isosphaeraceae bacterium"
"Taxa00045","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00046","Bacteria","","","Proteobacteria","Betaproteobacteria","","Neisseriales","","Chromobacteriaceae","","Aquitalea",""
"Taxa00047","Bacteria","","","","","","","","","","","STD_prok04"
"Taxa00048","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Alcaligenaceae","","",""
"Taxa00049","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00050","","","","","","","","","","","",""
"Taxa00051","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00052","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","",""
"Taxa00053","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","",""
"Taxa00054","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Chlamydomonadales","","Chlamydomonadaceae","","Chlamydomonas","Chlamydomonas reinhardtii"
"Taxa00055","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00056","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Xanthomonadales","","Rhodanobacteraceae","","Rhodanobacter",""
"Taxa00057","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","",""
"Taxa00058","Bacteria","","","Verrucomicrobia","","","","","","","",""
"Taxa00059","Bacteria","","","Verrucomicrobia","Opitutae","","Opitutales","","Opitutaceae","","Opitutus","uncultured Opitutus sp."
"Taxa00060","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","Acidovorax",""
"Taxa00061","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Alcaligenaceae","","",""
"Taxa00062","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Novosphingobium","uncultured Novosphingobium sp."
"Taxa00063","Bacteria","","","Actinobacteria","Actinobacteria","","Corynebacteriales","","Mycobacteriaceae","","",""
"Taxa00064","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Polynucleobacter",""
"Taxa00065","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00066","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Phyllobacteriaceae","","",""
"Taxa00067","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00068","Bacteria","","","Cyanobacteria","","","","","","","",""
"Taxa00069","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00070","Bacteria","","","","","","","","","","",""
"Taxa00071","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Spirosoma",""
"Taxa00072","Bacteria","","","Proteobacteria","Betaproteobacteria","","Nitrosomonadales","","Methylophilaceae","","",""
"Taxa00073","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Yersiniaceae","","",""
"Taxa00074","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Rhizobiaceae","","Kaistia",""
"Taxa00075","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","",""
"Taxa00076","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Prosthecobacter","uncultured Prosthecobacter sp."
"Taxa00077","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","",""
"Taxa00078","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Spirosoma",""
"Taxa00079","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Acetobacteraceae","","Acidisoma",""
"Taxa00080","Bacteria","","","","","","","","","","",""
"Taxa00081","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Pseudomonadales","","Pseudomonadaceae","","Pseudomonas",""
"Taxa00082","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","Caulobacter",""
"Taxa00083","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00084","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00085","Bacteria","","","","","","","","","","",""
"Taxa00086","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Flectobacillus",""
"Taxa00087","Bacteria","","","Firmicutes","","","","","","","",""
"Taxa00088","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Spirosoma",""
"Taxa00089","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","Acidovorax",""
"Taxa00090","Bacteria","","","Acidobacteria","Holophagae","","Holophagales","","Holophagaceae","","Geothrix",""
"Taxa00091","","","","","","","","","","","",""
"Taxa00092","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00093","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Novosphingobium",""
"Taxa00094","Bacteria","","","Verrucomicrobia","","","","","","","",""
"Taxa00095","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","Asticcacaulis",""
"Taxa00096","","","","","","","","","","","",""
"Taxa00097","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodobacterales","","Rhodobacteraceae","","",""
"Taxa00098","Bacteria","","","Acidobacteria","","","","","","","",""
"Taxa00099","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Gemmataceae","","",""
"Taxa00100","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00101","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00102","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Emticicia",""
"Taxa00103","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","",""
"Taxa00104","Bacteria","","","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","Lacibacter",""
"Taxa00105","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00106","","","","","","","","","","","",""
"Taxa00107","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Chlamydomonadales","","","","",""
"Taxa00108","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00109","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Acetobacteraceae","","",""
"Taxa00110","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Xanthomonadales","","","","",""
"Taxa00111","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","",""
"Taxa00112","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00113","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Spirosoma",""
"Taxa00114","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodobacterales","","Rhodobacteraceae","","Rhodobacter",""
"Taxa00115","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","Singulisphaera","uncultured Singulisphaera sp."
"Taxa00116","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00117","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00118","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","Herbaspirillum",""
"Taxa00119","Bacteria","","","Actinobacteria","Actinobacteria","","","","","","","uncultured actinobacterium"
"Taxa00120","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00121","Bacteria","","","","","","","","","","",""
"Taxa00122","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Novosphingobium",""
"Taxa00123","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00124","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","Caulobacter",""
"Taxa00125","Bacteria","","","Actinobacteria","Actinobacteria","","Corynebacteriales","","Mycobacteriaceae","","",""
"Taxa00126","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus",""
"Taxa00127","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Xanthomonadales","","Rhodanobacteraceae","","",""
"Taxa00128","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00129","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Cellvibrionales","","Cellvibrionaceae","","Cellvibrio",""
"Taxa00130","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00131","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","Singulisphaera","uncultured Singulisphaera sp."
"Taxa00132","","","","","","","","","","","",""
"Taxa00133","","","","","","","","","","","",""
"Taxa00134","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00135","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00136","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Beijerinckiaceae","","Rhodoblastus",""
"Taxa00137","Bacteria","","","","","","","","","","",""
"Taxa00138","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00139","Bacteria","","","Actinobacteria","Actinobacteria","","","","","","",""
"Taxa00140","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00141","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfuromonadales","","Geobacteraceae","","Geobacter","uncultured Geobacter sp."
"Taxa00142","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Candidatus Protistobacter","Candidatus Protistobacter heckmanni"
"Taxa00143","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00144","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Ralstonia",""
"Taxa00145","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","",""
"Taxa00146","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","Azospirillum",""
"Taxa00147","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00148","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","",""
"Taxa00149","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Gemmataceae","","",""
"Taxa00150","Bacteria","","","Actinobacteria","Actinobacteria","","Micrococcales","","Intrasporangiaceae","","Terracoccus","uncultured Terracoccus sp."
"Taxa00151","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00152","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Erwiniaceae","","",""
"Taxa00153","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00154","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Sphingomonas",""
"Taxa00155","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Cytophaga",""
"Taxa00156","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","","","",""
"Taxa00157","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00158","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","Singulisphaera","uncultured Singulisphaera sp."
"Taxa00159","Bacteria","","","Bacteroidetes","Sphingobacteriia","","","","","","",""
"Taxa00160","Eukaryota","","","Euglenida","","","Euglenales","","Phacaceae","","Lepocinclis",""
"Taxa00161","Bacteria","","","","","","","","","","",""
"Taxa00162","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Verrucomicrobium","uncultured Verrucomicrobium sp."
"Taxa00163","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00164","Bacteria","","","Candidatus Melainabacteria","","","Vampirovibrionales","","","","Vampirovibrio","uncultured Vampirovibrio sp."
"Taxa00165","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","",""
"Taxa00166","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","",""
"Taxa00167","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus",""
"Taxa00168","Eukaryota","Viridiplantae","","Chlorophyta","Trebouxiophyceae","","","","","","Choricystis",""
"Taxa00169","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Methylococcales","","","","",""
"Taxa00170","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00171","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00172","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00173","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","uncultured Alphaproteobacteria bacterium"
"Taxa00174","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","",""
"Taxa00175","Bacteria","","","Bacteroidetes","Bacteroidia","","Bacteroidales","","","","",""
"Taxa00176","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","",""
"Taxa00177","Bacteria","","","Bacteroidetes","Flavobacteriia","","Flavobacteriales","","Flavobacteriaceae","","Flavobacterium",""
"Taxa00178","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","Acidovorax",""
"Taxa00179","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00180","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","uncultured Alphaproteobacteria bacterium"
"Taxa00181","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00182","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","","uncultured Isosphaeraceae bacterium"
"Taxa00183","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00184","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00185","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","",""
"Taxa00186","Bacteria","","","Candidatus Melainabacteria","","","Vampirovibrionales","","","","Vampirovibrio","uncultured Vampirovibrio sp."
"Taxa00187","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodobacterales","","Rhodobacteraceae","","",""
"Taxa00188","","","","","","","","","","","",""
"Taxa00189","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00190","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","",""
"Taxa00191","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus",""
"Taxa00192","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Enterobacteriaceae","","",""
"Taxa00193","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00194","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00195","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","",""
"Taxa00196","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Ralstonia",""
"Taxa00197","Eukaryota","Viridiplantae","","Streptophyta","Klebsormidiophyceae","","Klebsormidiales","","Klebsormidiaceae","","Klebsormidium",""
"Taxa00198","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00199","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00200","Bacteria","","","Actinobacteria","Actinobacteria","","Micrococcales","","Micrococcaceae","","",""
"Taxa00201","Bacteria","","","","","","","","","","",""
"Taxa00202","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00203","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00204","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00205","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Acetobacteraceae","","",""
"Taxa00206","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","",""
"Taxa00207","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Spirosoma",""
"Taxa00208","","","","","","","","","","","",""
"Taxa00209","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Chlamydomonadales","","","","",""
"Taxa00210","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00211","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00212","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Micropepsales","","Micropepsaceae","","Rhizomicrobium",""
"Taxa00213","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Prosthecobacter","uncultured Prosthecobacter sp."
"Taxa00214","Bacteria","","","Proteobacteria","Oligoflexia","","Bdellovibrionales","","Bdellovibrionaceae","","Bdellovibrio","uncultured Bdellovibrio sp."
"Taxa00215","Bacteria","","","Verrucomicrobia","Spartobacteria","","","","","","",""
"Taxa00216","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Runella",""
"Taxa00217","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Pseudomonadales","","Pseudomonadaceae","","Pseudomonas",""
"Taxa00218","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00219","Bacteria","","","","","","","","","","",""
"Taxa00220","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Arcicella",""
"Taxa00221","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Acetobacteraceae","","Acidocella",""
"Taxa00222","Bacteria","","","Verrucomicrobia","Opitutae","","Opitutales","","Opitutaceae","","Opitutus",""
"Taxa00223","Bacteria","","","","","","","","","","",""
"Taxa00224","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Verrucomicrobium","uncultured Verrucomicrobium sp."
"Taxa00225","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Pseudomonadales","","Pseudomonadaceae","","Pseudomonas",""
"Taxa00226","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Sphingomonas",""
"Taxa00227","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus",""
"Taxa00228","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Erwiniaceae","","Buchnera","Buchnera aphidicola"
"Taxa00229","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Budviciaceae","","Pragia",""
"Taxa00230","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00231","Bacteria","","","Bacteroidetes","Sphingobacteriia","","","","","","",""
"Taxa00232","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00233","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Thermincola","uncultured Thermincola sp."
"Taxa00234","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus","uncultured Desulfosporosinus sp."
"Taxa00235","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00236","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","","","",""
"Taxa00237","Bacteria","","","Chloroflexi","Chloroflexia","","Chloroflexales","","","","",""
"Taxa00238","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Rhizobiaceae","","Rhizobium",""
"Taxa00239","Bacteria","","","Proteobacteria","Betaproteobacteria","","Nitrosomonadales","","Methylophilaceae","","",""
"Taxa00240","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","Singulisphaera","uncultured Singulisphaera sp."
"Taxa00241","Bacteria","","","","","","","","","","",""
"Taxa00242","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00243","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","Clostridium",""
"Taxa00244","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","Phenylobacterium",""
"Taxa00245","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00246","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus","uncultured Desulfosporosinus sp."
"Taxa00247","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00248","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Thermincola","uncultured Thermincola sp."
"Taxa00249","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","Magnetospirillum","uncultured Magnetospirillum sp."
"Taxa00250","Eukaryota","","","","","","","","","","",""
"Taxa00251","","","","","","","","","","","",""
"Taxa00252","Bacteria","","","","","","","","","","",""
"Taxa00253","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","Thiomonas",""
"Taxa00254","Bacteria","","","Proteobacteria","Betaproteobacteria","","Rhodocyclales","","Zoogloeaceae","","Zoogloea",""
"Taxa00255","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00256","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00257","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Limnobacter",""
